institute,date,fr_p,ap,h,kr_f,sv,sp,v,others,sample_size,resp_rate,r,mdg
Sentio,17 Jun 2019,10.5,25.2,22.7,2.7,6.8,15.2,2.5,4.1,1000,NA,4.5,5.8
Opinion Perduco,10 Jun 2019,11.4,23,19.1,2.6,6.4,16.9,2.8,4.2,956,74,7.1,6.5
Respons Analyse,6 Jun 2019,10.7,26,23.1,3.6,6.8,13.3,3.5,2.9,1002,78,5.2,4.9
Norfakta,5 Jun 2019,10.2,25.2,24.3,3.2,6,15.8,1.5,2.4,1000,NA,5.9,5.7
Norstat,3 Jun 2019,11.4,24.4,21,3.5,6.8,14.9,2.7,4,951,NA,5,6.3
Ipsos MMI,29 May 2019,12.1,26.9,20.7,2.3,6.3,15.2,2,4.8,739,NA,5.1,4.6
Norstat,27 May 2019,12.5,23.7,22.9,3.7,6.5,13.3,3.4,5,940,NA,4.8,4.3
Sentio,18 May 2019,11.9,23.1,22.6,3.6,6.1,15.8,2.3,2.9,1000,NA,6.6,5.1
Opinion Perduco,13 May 2019,13.1,27.2,21.2,2.7,8.3,14.1,2.1,2.4,951,NA,5.1,4
Norfakta,8 May 2019,11.9,25.1,24.4,3.2,7.4,14.4,3,2.7,1003,NA,4.9,3
Norstat,6 May 2019,12.6,26.5,20.2,3.5,6.2,15,3.7,3.3,1000,NA,5,3.9
Kantar TNS,3 May 2019,11.6,26,21,3.9,7.2,14.7,4.1,2.3,987,79.3,5.4,3.9
Norstat,2 May 2019,11.2,27.6,20.4,3.3,7.5,15.7,2.3,2.3,NA,NA,5.1,4.8
Respons Analyse,2 May 2019,13,28.2,21.6,4.1,8.4,12.5,1.9,2,1000,NA,3.9,4.4
Ipsos MMI,25 Apr 2019,10.1,28.1,23.8,3.9,6.8,14.4,2.2,3.2,942,NA,4.5,3
Sentio,16 Apr 2019,10,27.5,23.2,3.4,7,15.4,2.4,2.4,NA,NA,4.6,4.1
Opinion Perduco,8 Apr 2019,10.6,27.5,21.5,2.6,8.2,16.7,2.3,2.5,954,NA,4.5,3.7
Respons Analyse,4 Apr 2019,10.1,25.6,22.4,3,7.6,15.6,4.3,2.8,1001,NA,4.7,3.9
Norfakta,3 Apr 2019,11.2,26.1,22.5,3.8,8.4,15.2,3,2.5,1032,NA,4.3,3
Norstat,1 Apr 2019,11.9,24,22.3,4.2,7,16.9,2.9,2.4,628,NA,3.7,4.7
Kantar TNS,29 Mar 2019,10.4,24.3,21.6,3.7,7.5,16.9,3.4,2.2,982,80.6,5.1,5
Norstat,27 Mar 2019,12.1,26.6,24.6,2.4,6.8,14.3,1.8,2.2,NA,NA,4.9,4.3
Ipsos MMI,20 Mar 2019,11.7,28.8,21.3,2.5,7,14.4,2,3.1,942,NA,5.6,3.6
Sentio,18 Mar 2019,10.6,27.7,24.7,3,7.3,14.5,2.3,1.4,1000,NA,5.4,3.2
Opinion Perduco,11 Mar 2019,10.6,25.1,26.1,4.8,7.1,12.7,2,0.8,957,NA,4.9,6
Norfakta,6 Mar 2019,10.7,27,24.6,3.3,8.1,14,2.3,1.8,1002,74,4.5,3.7
Respons Analyse,4 Mar 2019,12.6,24.3,24.3,3.8,7.6,14.6,2.8,1.7,1000,NA,5,3.3
Norstat,4 Mar 2019,12.1,26.5,24.3,4,8,12.4,1.9,1.5,653,NA,4.8,4.4
Kantar TNS,1 Mar 2019,10.2,27.4,24.8,3.7,8,12.8,2.2,2.7,972,73.7,4.8,3.6
Norstat,25 Feb 2019,12.5,26.9,22.3,3.2,6.6,16,1.8,1.5,NA,NA,6.2,3
Ipsos MMI,20 Feb 2019,10,26.9,25.1,2.5,7,13,2.3,2.8,932,NA,6.6,3.8
Sentio,19 Feb 2019,10.8,27.4,21.1,3.4,8,15.6,2.3,2.4,1000,NA,5.1,3.9
Opinion Perduco,11 Feb 2019,11.8,28.2,22.1,3.2,8,13.9,2.3,0.6,942,73,7.6,2.3
Norfakta,6 Feb 2019,10.9,29.3,22.9,4.1,7.2,12.7,3.3,2.3,1005,78,4,3.3
Respons Analyse,4 Feb 2019,10.5,29.7,22.9,3.8,7.8,12.2,3.9,1.8,1001,72,3.6,3.8
Norstat,4 Feb 2019,12,29.2,22.9,3.4,7.8,11.8,2.6,2.2,937,70,4.8,3.2
Kantar TNS,2 Feb 2019,11.7,26.5,23.6,4.1,8.8,10.4,2.5,2.5,986,82.7,6.2,3.6
Norstat,28 Jan 2019,13.5,29.1,22.5,3.5,7.3,11.2,2.7,2.1,691,NA,4.4,3.7
Ipsos MMI,23 Jan 2019,13,29.8,22.8,2.7,8,10.9,2.2,3.2,935,NA,4.2,3.2
Sentio,21 Jan 2019,13.2,26.3,23.6,3.5,6.9,13.4,4.3,1.8,1000,65.2,3.1,3.8
Opinion Perduco,14 Jan 2019,10.8,28.5,22.9,3.7,7.9,12.6,2.4,2.5,957,72,5.5,3.2
Kantar TNS,10 Jan 2019,12,27.9,24.2,3,7.2,12.2,3.6,2,980,77.4,4.6,2.8
Norfakta,9 Jan 2019,12,27.7,24.7,3.8,7.4,12.5,3.3,1.9,1000,NA,3.9,2.8
Respons Analyse,7 Jan 2019,11.5,29.7,26,3.8,6.7,10.5,4.4,1.5,1001,NA,3.1,2.8
Norstat,7 Jan 2019,12.2,27.3,27,3.7,7.4,12.1,3.1,1.6,925,76.5,3.3,2.4
Ipsos MMI,19 Dec 2018,12.8,28.5,24.7,3.8,8.1,10.4,3,2.3,944,NA,2.7,3.7
Norstat,17 Dec 2018,12.4,26.8,26.5,3.5,6.9,11.2,3.4,1.8,927,NA,4.1,3.4
Opinion Perduco,10 Dec 2018,14.6,27.1,22.9,3.4,5.8,11.9,4.4,1.1,946,73,5.1,3.6
Norfakta,5 Dec 2018,12,28.4,25.9,3.8,7.4,11.6,3,2.3,1000,76,3.1,2.5
Respons Analyse,4 Dec 2018,13.5,26,25.7,4.1,8.8,10.5,3.4,1.7,1000,NA,3.9,2.4
Sentio,4 Dec 2018,12,30,24.3,3.5,5.5,12.2,4.3,1.1,1000,70.8,4.8,2.4
Kantar TNS,3 Dec 2018,13.9,27.4,24.7,3,6.3,11.9,3.6,0.8,968,74.6,4.8,2.8
Norstat,25 Nov 2018,13.1,29.7,24.7,3.2,7,11.4,2.8,2,933,NA,3.3,2.8
Ipsos MMI,21 Nov 2018,12.8,31.2,23.1,3.3,6.1,11.7,3.6,2.1,917,NA,3.6,2.5
Norstat,19 Nov 2018,13.2,29,24.6,4.3,6.6,12,3.2,1.7,937,NA,3.3,2.9
Opinion Perduco,12 Nov 2018,10.8,28.3,26.2,3.8,6,11.9,3.7,1.1,950,74,4.9,3.3
Respons Analyse,7 Nov 2018,12.8,28.4,26.5,4.2,6,10.3,4.1,0.9,1000,NA,3.9,2.9
Norfakta,5 Nov 2018,13.2,29.1,26.1,4,5,11.7,3.8,0.9,1005,80,3.9,2.2
Sentio,5 Nov 2018,13.7,25,26.9,4.7,7.5,10,4.5,1,1000,68.9,4.4,2.4
Kantar TNS,30 Oct 2018,13.8,27.6,26.8,3,7.2,9,2.3,2.6,990,79.2,4.8,2.8
Norstat,28 Oct 2018,14.1,27.2,24.3,3.9,6.7,12.1,3.7,1.3,693,NA,3.5,3.2
Ipsos MMI,24 Oct 2018,10.4,26,26.3,4.4,7.7,12.4,5.1,1.5,947,NA,4,2.2
Norstat,22 Oct 2018,13.6,28.7,25.4,3.6,7.2,10.3,3.7,1.7,941,NA,3.9,2
Sentio,18 Oct 2018,12.7,28.8,25.7,4.5,6.6,10.5,2.8,2.5,1000,70.3,3.6,2.4
InFact,10 Oct 2018,14.7,24.4,26.1,4.8,5.7,11.2,3.8,2.5,1009,NA,4.1,2.7
Opinion Perduco,10 Oct 2018,13,26.6,25,5,5.9,12.7,2.6,0.9,944,72,5.1,3.2
Norfakta,3 Oct 2018,13.3,28.2,26,4.1,6.6,11.2,2.4,2.1,1001,NA,4,2.2
Respons Analyse,3 Oct 2018,14.4,27.7,25.5,4.7,6.7,9.8,3.9,1.6,1000,NA,3,2.7
Norstat,29 Sep 2018,14,26.9,24.7,3.7,7.1,11.2,3.5,1.4,924,NA,3.3,4.2
Kantar TNS,28 Sep 2018,12.7,26.7,26.7,3.8,7.6,10.4,4.1,1.4,973,80.9,4,2.4
Ipsos MMI,26 Sep 2018,14.9,28.7,25.7,3,6.1,10.1,2.3,2.3,932,NA,4.6,2.3
Norstat,24 Sep 2018,15.7,26.6,24.3,3,6.2,12,3.4,1.4,932,NA,5,2.3
Sentio,17 Sep 2018,11.8,28,27.4,3.9,6.3,9.1,3,1.8,1000,70.7,4.8,3.8
Respons Analyse,10 Sep 2018,14.1,25.5,26,3.9,6.3,10.4,3.8,1.8,1002,NA,4.7,3.5
Opinion Perduco,10 Sep 2018,13.1,27.7,26.4,2.9,7.1,10.6,3.4,2.3,944,72,3.5,3
Kantar TNS,6 Sep 2018,10.4,24.9,29,3.7,6.5,11.6,3.5,2.6,979,73.5,5.5,2.4
Norfakta,5 Sep 2018,17.6,24.6,24.1,4,7,11.1,4.2,0.7,1000,78,4.6,2.1
Norstat,2 Sep 2018,13.9,26.2,26.6,3.5,6,11.2,3.3,2.3,721,NA,4.4,2.8
Norstat,26 Aug 2018,12.9,24.4,27.4,3.6,6.9,12.5,3,1.4,928,NA,4.2,3.6
Ipsos MMI,25 Aug 2018,13,28.5,24.8,3.3,6,11.5,3.9,2.1,943,NA,3.7,3.2
Respons Analyse,20 Aug 2018,14.6,25.9,25.6,3.9,7.7,10.3,5.2,0.5,1001,NA,4.1,2.2
Sentio,20 Aug 2018,13.3,25.9,26.6,4.2,6.4,10.7,3.6,1.4,1000,67.8,4.4,3.4
Norstat,12 Aug 2018,12.7,23.8,27.5,4,6.1,11.8,3.5,1.8,932,70.9,5.3,3.4
Norfakta,8 Aug 2018,12.9,27.8,24.6,4.8,5.8,12.3,5.1,0.7,1003,NA,3.7,2.4
Kantar TNS,7 Aug 2018,10.1,24.4,26.1,5.3,8,13.6,3.6,1.1,982,75.4,5.3,2.5
Opinion Perduco,6 Aug 2018,12.6,28.2,23.6,4.2,6.6,11.2,2.4,1.2,953,72,5.8,4.1
Norfakta,4 Jul 2018,14.8,23.7,26.3,5,7.5,9.7,3.4,2,1001,76,3.9,3.7
Ipsos MMI,27 Jun 2018,13.5,22.2,27.9,4.7,7.1,11.4,3.9,3.1,941,NA,3.8,2.4
Norstat,25 Jun 2018,13.6,21.5,27.8,4.2,7.5,10.7,5.1,2.2,941,NA,4.9,2.5
Sentio,16 Jun 2018,14,25.2,27.1,4.1,7.3,10.2,3.2,1.8,1000,70.4,5.3,2.1
Opinion Perduco,11 Jun 2018,13,24,27.1,3.8,6.5,10.7,4.1,1.8,954,73,4.8,4.2
Norfakta,6 Jun 2018,12.5,24.1,29.4,3,6,11.3,4.5,1.4,1002,79,4.4,3.4
Respons Analyse,4 Jun 2018,15.1,22,26.4,4.1,7.6,11,3.7,2.4,1000,NA,4.8,2.9
Norstat,4 Jun 2018,13.1,23.4,27.6,3.8,7.5,11,4.1,1.7,930,NA,4.5,3.4
Kantar TNS,1 Jun 2018,12.4,23.4,24.5,5.3,8.5,11.3,4.5,1.3,977,76.2,5.6,3.2
Ipsos MMI,30 May 2018,13.5,22.9,27,3.8,7.7,11.1,5.9,1.9,939,NA,3.2,3
Norstat,28 May 2018,13.9,23.6,26.4,4.2,7.2,11.8,4.1,2.3,929,NA,4,2.7
Sentio,22 May 2018,14,23.5,28.4,3.8,8,10.6,3.2,2.3,1000,72.3,3.4,2.9
Opinion Perduco,14 May 2018,15,22.8,26.5,5.5,7.1,10.5,3.8,1.2,945,73,4.4,3.3
Norfakta,9 May 2018,15.4,24.7,26.7,3.9,6.9,10.5,3.9,1.8,1000,81,3.2,3
Respons Analyse,7 May 2018,16.1,25.5,26.2,3.7,7.3,9.5,3.5,1.5,1002,NA,3.5,3.2
Norstat,7 May 2018,15.9,26,25.5,3,6.5,11,3.8,1.6,703,NA,3.5,3.2
Kantar TNS,2 May 2018,14.7,23.8,28.1,4.7,7.6,10.3,4.1,0.7,982,78.9,3.8,2.3
Norstat,30 Apr 2018,15.3,24,26.4,3.7,6.8,10.9,3.7,2.4,933,NA,4,2.9
Ipsos MMI,25 Apr 2018,16,23.2,24.9,4.4,6,11.9,4,1.8,941,NA,4.7,3
Sentio,23 Apr 2018,15.7,23.8,25.2,4.9,7.3,11.9,3.6,1.7,1000,68.3,2.8,3
Opinion Perduco,16 Apr 2018,13.5,24,27,4,7.7,11.5,4.1,1.4,945,75,4.9,1.9
Respons Analyse,9 Apr 2018,16.2,23.4,25.8,4.5,6.2,10.9,4.1,1.8,1001,NA,3.9,3.1
Norstat,9 Apr 2018,15.8,25.2,25.1,3.7,7.5,10.7,3.7,1.9,925,NA,3.8,2.5
Kantar TNS,6 Apr 2018,16.2,24.1,26.4,3.7,8.7,9,2.8,1,971,79.5,5.4,2.9
Norfakta,4 Apr 2018,17.4,23.2,26.5,4.1,7.4,10.6,3.6,0.1,1000,NA,4.3,3
Norstat,24 Mar 2018,15.4,24.3,25.3,4.8,6.6,11,4.3,1.9,955,NA,4,2.3
Ipsos MMI,21 Mar 2018,20.8,23.7,23.9,3.8,6.6,10.2,3.2,2.2,935,NA,3.3,2.4
Kantar TNS,20 Mar 2018,20.6,23.6,26,4.4,5.6,10.3,5,0.9,600,83,1.7,2.1
Sentio,19 Mar 2018,15.8,23.3,26.6,4.1,7.1,11.9,3.5,1.1,1000,71,4,2.6
Respons Analyse,16 Mar 2018,15.9,25.1,26.9,3.2,6.4,10.8,4.4,1.7,1002,NA,2.5,3.1
Opinion Perduco,12 Mar 2018,14.5,23.3,27.3,3.6,6.9,11,4.6,1.1,951,72,4.5,3.2
Norfakta,7 Mar 2018,12.7,22.5,28.4,3.9,6.9,12.8,3.8,1.8,1001,79,3.3,3.9
Respons Analyse,5 Mar 2018,13.1,23.4,28,4.4,7.2,11.6,4.7,1.4,1003,NA,3.1,3.1
Norstat,5 Mar 2018,15,23.3,27.4,3.2,7,12.3,4.3,1.5,930,NA,3.2,2.8
Kantar TNS,3 Mar 2018,10.9,23.4,29.3,4.5,6.6,12.1,4.9,1,980,82.9,3.8,3.6
Norstat,25 Feb 2018,12.9,24.5,28.8,4.5,6,10.8,3.5,2.5,933,NA,3.1,3.3
Ipsos MMI,21 Feb 2018,13.6,25.4,27.3,3.5,7.5,9.7,4.4,2.3,950,NA,3.3,3
Sentio,19 Feb 2018,15,23.3,28.7,5.1,6.1,10.4,4.1,0.9,1000,74.3,3.2,3.2
Opinion Perduco,12 Feb 2018,15.9,21.4,29.2,3.6,7.3,10,3.9,0.8,944,74,4,4
Respons Analyse,7 Feb 2018,13.6,24,27.9,3.6,7.2,10.9,4.5,1.4,1002,NA,3.3,3.6
Norstat,5 Feb 2018,13.1,22.4,28.9,3.9,8.6,11.2,3.8,1.5,943,NA,2.9,3.7
Kantar TNS,5 Feb 2018,12,23.6,29.1,3.8,6.3,11.2,5.8,1.1,985,80.7,3.6,3.4
Norfakta,31 Jan 2018,13.4,23.9,27.9,4.3,7.7,11,4.2,1.5,1003,77,2.6,3.5
Norstat,28 Jan 2018,12.8,22.7,29.9,4.3,7.4,11,4,2.3,936,NA,2.8,2.7
Ipsos MMI,24 Jan 2018,12.5,25.4,26.2,3.7,7.6,12.1,4.6,1.9,893,NA,3,3
Sentio,21 Jan 2018,13.4,22.7,30.5,4.5,7.6,10.1,3,2,1000,70.2,3.1,3.2
Opinion Perduco,15 Jan 2018,14.5,20.8,30.1,4.6,7.3,10.8,4.5,1,968,72,3,3
Respons Analyse,12 Jan 2018,13.2,23.2,29.4,4.4,7.5,11.3,4.1,1.2,1000,NA,2.9,2.8
Respons Analyse,10 Jan 2018,15.5,23.1,27.1,4.1,7.7,10.7,4.1,2.3,1000,81,2.7,2.7
Kantar TNS,9 Jan 2018,14.8,19.4,30.5,4.5,8.6,10.9,4.3,1.5,968,80.6,3,2.6
Norstat,8 Jan 2018,14.9,20.1,28.7,4.6,8.3,12.2,3.6,2,977,NA,2.9,2.7
Norfakta,3 Jan 2018,14.5,24.2,29.1,3.3,5.7,10.3,4.7,1.4,1000,NA,3.1,3.8
Ipsos MMI,20 Dec 2017,13.7,26.3,26.5,4.3,8,10.1,4.8,1.9,929,NA,1.9,2.6
Norstat,18 Dec 2017,13.9,26,26.5,3.6,8.4,10.6,3.4,1.2,949,NA,2.9,3.6
Sentio,11 Dec 2017,14.9,25.9,26.5,4.6,6,10.6,3.5,1.7,1000,76.8,2.6,3.7
Kantar TNS,8 Dec 2017,14.8,26,26.6,4.1,6.9,9.7,4.3,1.3,974,79.6,2.8,3.5
Norfakta,6 Dec 2017,13.6,26.7,27.5,3.7,7,10.2,4.7,1.2,1000,83,2.1,3.3
Opinion Perduco,4 Dec 2017,14.9,26.6,25.8,3.9,6,11.5,3.4,0.9,960,76,2.5,4.4
Norstat,27 Nov 2017,14.7,25.8,26.8,4.6,7.1,11.2,3.9,1.2,939,NA,1.7,2.9
Ipsos MMI,22 Nov 2017,15.9,27.9,25,3.8,5.4,8.6,4.8,1.9,918,NA,2.8,3.9
Norstat,20 Nov 2017,16.1,27.1,26.1,4,7,9.3,3.8,0.8,955,NA,2.9,2.9
Sentio,13 Nov 2017,13.2,25.6,28.2,4,6.7,10.9,3.9,1.7,1000,79.2,3,2.8
Kantar TNS,10 Nov 2017,12.7,25.3,26.9,3.1,7.4,11.5,5.9,1.4,972,85.4,3.9,1.9
Norfakta,8 Nov 2017,14.6,26.6,27,3.2,7.3,10.5,3.7,1.9,1003,85,3.3,1.9
Opinion Perduco,6 Nov 2017,14.9,25.1,25.7,4,7.3,11.2,4.3,0.9,956,79,2.8,3.8
Norstat,31 Oct 2017,14.5,26,25.9,4.2,7.5,11.7,3.7,1.5,937,NA,2.4,2.7
Ipsos MMI,25 Oct 2017,13.5,27.4,25.8,3.7,5.9,10.9,3.8,2.7,947,NA,3.4,2.9
Norstat,23 Oct 2017,13.7,26.5,25.6,4.1,6.5,10.7,4.9,1.6,942,NA,3.2,3.2
Sentio,16 Oct 2017,14.6,25.2,25.2,3.2,7.3,10.2,4.6,1.8,1000,79.9,3.1,4.9
Opinion Perduco,9 Oct 2017,14.9,25.8,26.7,4.1,6,10.6,4.1,0.8,958,80,2.2,4.8
Kantar TNS,6 Oct 2017,13.1,25.4,29.2,3.2,6.4,9.3,4.8,1.6,975,NA,3.7,3.4
Norfakta,4 Oct 2017,13.4,25.8,27.6,4.4,6.5,11.4,3.4,2.1,1000,85,1.8,3.6
Norstat,1 Oct 2017,14.3,26.4,25.6,3.9,7.5,10.6,4.2,1.9,941,NA,2.5,3
Ipsos MMI,27 Sep 2017,14.4,26.1,24.4,3.9,7.4,10.2,5.4,2.3,935,NA,2.7,3.3
Norstat,25 Sep 2017,15,24.9,25.1,3.2,7.3,11.3,4.7,1.9,936,NA,3.7,2.8
Sentio,18 Sep 2017,14.7,26.2,26.8,3.9,6.4,11.4,3.9,0.9,1000,80.1,2.4,3.3
