institute,lpc,ca,bq,ndp,pc,date,cpc,gpc,sample_size,polling_method,other,ppc
EKOS Research Associates,27.1,NA,9.5,16.3,NA,2010-04-20,31.7,12.6,NA,NA,NA,NA
EKOS Research Associates,29,NA,8.8,16.4,NA,2010-04-13,31.4,11.1,NA,NA,NA,NA
Ipsos Reid,27,NA,10,15,NA,2010-04-08,37,10,NA,NA,NA,NA
EKOS Research Associates,27.3,NA,9.6,15.9,NA,2010-04-06,33.6,11.7,NA,NA,NA,NA
Harris-Decima,29,NA,9,17,NA,2010-04-05,32,11,NA,NA,NA,NA
EKOS Research Associates,27,NA,9,16,NA,2010-03-30,32.2,12.7,NA,NA,NA,NA
Angus Reid Public Opinion,29,NA,9,20,NA,2010-03-26,35,7,NA,NA,NA,NA
EKOS Research Associates,27.7,NA,9.8,15.9,NA,2010-03-23,33.3,10.4,NA,NA,NA,NA
Ipsos Reid,28,NA,9,18,NA,2010-03-18,34,10,NA,NA,NA,NA
EKOS Research Associates,28.9,NA,9.2,15.7,NA,2010-03-16,33.1,10.8,NA,NA,NA,NA
Nanos Research,34.6,NA,7.7,17.8,NA,2010-03-11,34.7,5.2,NA,NA,NA,NA
EKOS Research Associates,29.6,NA,9.1,16,NA,2010-03-09,31.9,11,NA,NA,NA,NA
Harris-Decima,29,NA,10,16,NA,2010-03-07,33,11,NA,NA,NA,NA
EKOS Research Associates,29.4,NA,9.4,15.2,NA,2010-03-02,32.4,10.5,NA,NA,NA,NA
Harris-Decima,31,NA,8,16,NA,2010-02-28,31,12,NA,NA,NA,NA
Angus Reid Public Opinion,29,NA,9,20,NA,2010-02-26,33,9,NA,NA,NA,NA
Environics,30,NA,9,16,NA,2010-02-24,31,13,NA,NA,NA,NA
EKOS Research Associates,30.3,NA,8.2,15.8,NA,2010-02-23,33.4,10.4,NA,NA,NA,NA
Ipsos Reid,29,NA,9,16,NA,2010-02-22,37,7,NA,NA,NA,NA
EKOS Research Associates,29,NA,8.8,16.5,NA,2010-02-16,31.2,11.8,NA,NA,NA,NA
Harris-Decima,30,NA,10,16,NA,2010-02-14,32,10,NA,NA,NA,NA
Angus Reid Public Opinion,30,NA,9,18,NA,2010-02-13,34,8,NA,NA,NA,NA
Environics,37,NA,8,13,NA,2010-02-09,33,9,NA,NA,NA,NA
EKOS Research Associates,29,NA,10.3,15.5,NA,2010-02-09,31,11.3,NA,NA,NA,NA
Nanos Research,33.9,NA,8.5,16.4,NA,2010-02-04,35.6,5.6,NA,NA,NA,NA
EKOS Research Associates,31.9,NA,8.4,15.4,NA,2010-02-02,31,10.9,NA,NA,NA,NA
Harris-Decima,32,NA,10,15,NA,2010-01-31,32,9,NA,NA,NA,NA
Angus Reid Public Opinion,29,NA,10,19,NA,2010-01-26,33,7,NA,NA,NA,NA
EKOS Research Associates,31.6,NA,9.1,14.6,NA,2010-01-26,31.1,11,NA,NA,NA,NA
Harris-Decima,31,NA,10,15,NA,2010-01-24,32,10,NA,NA,NA,NA
Ipsos Reid,31,NA,9,17,NA,2010-01-21,34,8,NA,NA,NA,NA
EKOS Research Associates,30.9,NA,9.1,14.9,NA,2010-01-19,31.5,11.5,NA,NA,NA,NA
Angus Reid Public Opinion,28,NA,9,19,NA,2010-01-13,34,8,NA,NA,NA,NA
EKOS Research Associates,29.3,NA,10.2,15.3,NA,2010-01-12,30.9,11.9,NA,NA,NA,NA
Harris-Decima,30,NA,9,16,NA,2010-01-10,34,9,NA,NA,NA,NA
Strategic Counsel,30,NA,9,18,NA,2010-01-08,31,10,NA,NA,NA,NA
Angus Reid Public Opinion,29,NA,10,17,NA,2010-01-06,36,8,NA,NA,NA,NA
EKOS Research Associates,27.8,NA,9.8,16,NA,2010-01-05,33.1,13.4,NA,NA,NA,NA
EKOS Research Associates,26.7,NA,9.2,17,NA,2009-12-15,35.9,11.2,NA,NA,NA,NA
Nanos Research,30.2,NA,7.7,18.7,NA,2009-12-13,39.5,4,NA,NA,NA,NA
Angus Reid Public Opinion,29,NA,11,16,NA,2009-12-10,36,6,NA,NA,NA,NA
EKOS Research Associates,26.5,NA,9.9,16.7,NA,2009-12-08,35.6,11.3,NA,NA,NA,NA
EKOS Research Associates,27.1,NA,9.4,15.3,NA,2009-11-24,36.9,11.4,NA,NA,NA,NA
Ipsos Reid,24,NA,9,19,NA,2009-11-19,37,10,NA,NA,NA,NA
Angus Reid Public Opinion,23,NA,11,17,NA,2009-11-16,38,10,NA,NA,NA,NA
Nanos Research,28.8,NA,9.3,17.9,NA,2009-11-10,38,5.9,NA,NA,NA,NA
EKOS Research Associates,26.6,NA,8.8,16.8,NA,2009-11-10,36.6,11.2,NA,NA,NA,NA
EKOS Research Associates,26.8,NA,9.4,16.3,NA,2009-11-03,37.4,10,NA,NA,NA,NA
EKOS Research Associates,26.8,NA,8.2,16.7,NA,2009-10-27,38.4,9.9,NA,NA,NA,NA
Angus Reid Strategies,26,NA,9,17,NA,2009-10-24,40,7,NA,NA,NA,NA
Ipsos Reid,25,NA,11,13,NA,2009-10-22,40,11,NA,NA,NA,NA
Environics,26,NA,8,16,NA,2009-10-21,38,10,NA,NA,NA,NA
EKOS Research Associates,27.1,NA,9,14.5,NA,2009-10-20,38.3,11,NA,NA,NA,NA
Nanos Research,30,NA,8.9,16.6,NA,2009-10-18,39.8,4.6,NA,NA,NA,NA
Angus Reid Strategies,27,NA,8,16,NA,2009-10-14,41,6,NA,NA,NA,NA
EKOS Research Associates,25.5,NA,9.1,14.3,NA,2009-10-13,40.7,10.5,NA,NA,NA,NA
Harris-Decima,28,NA,10,15,NA,2009-10-12,35,10,NA,NA,NA,NA
Ipsos Reid,29,NA,10,13,NA,2009-10-08,39,8,NA,NA,NA,NA
EKOS Research Associates,25.7,NA,9.7,15.2,NA,2009-10-06,39.7,9.7,NA,NA,NA,NA
Strategic Counsel,28,NA,9,14,NA,2009-10-04,41,9,NA,NA,NA,NA
Angus Reid Strategies,27,NA,11,17,NA,2009-09-30,37,6,NA,NA,NA,NA
EKOS Research Associates,29.7,NA,9.8,13.9,NA,2009-09-29,36,10.5,NA,NA,NA,NA
Angus Reid Strategies,29,NA,9,16,NA,2009-09-24,37,8,NA,NA,NA,NA
EKOS Research Associates,29.9,NA,9.1,13.8,NA,2009-09-22,37,10.2,NA,NA,NA,NA
EKOS Research Associates,29.9,NA,9.6,16.5,NA,2009-09-15,35.1,9,NA,NA,NA,NA
Angus Reid Strategies,29,NA,10,17,NA,2009-09-13,36,7,NA,NA,NA,NA
Harris-Decima,30,NA,9,15,NA,2009-09-13,34,10,NA,NA,NA,NA
Ipsos Reid,30,NA,9,12,NA,2009-09-13,39,8,NA,NA,NA,NA
EKOS Research Associates,30.8,NA,10,14.8,NA,2009-09-08,34.2,10.1,NA,NA,NA,NA
Harris-Decima,31,NA,8,15,NA,2009-09-06,34,10,NA,NA,NA,NA
Strategic Counsel,30,NA,12,14,NA,2009-09-06,35,9,NA,NA,NA,NA
Nanos Research,33.4,NA,9.7,14.8,NA,2009-09-02,37.5,4.6,NA,NA,NA,NA
Angus Reid Strategies,32,NA,9,19,NA,2009-09-02,33,7,NA,NA,NA,NA
EKOS Research Associates,32.6,NA,8.3,16.5,NA,2009-09-01,32.6,9.9,NA,NA,NA,NA
Pollara,36,NA,8,16,NA,2009-09-01,36,3,NA,NA,NA,NA
Angus Reid Strategies,30,NA,8,18,NA,2009-08-26,34,9,NA,NA,NA,NA
EKOS Research Associates,30.9,NA,9.5,15.7,NA,2009-08-25,32.6,11.3,NA,NA,NA,NA
Harris-Decima,32,NA,9,16,NA,2009-08-24,31,11,NA,NA,NA,NA
Ipsos Reid,28,NA,8,14,NA,2009-08-24,39,10,NA,NA,NA,NA
EKOS Research Associates,30.2,NA,8.7,17.3,NA,2009-08-18,32,11,NA,NA,NA,NA
EKOS Research Associates,31,NA,9,16.5,NA,2009-08-11,32.7,10.1,NA,NA,NA,NA
EKOS Research Associates,31.9,NA,8.6,13.8,NA,2009-08-04,34.9,10.8,NA,NA,NA,NA
Nanos Research,33.8,NA,9.2,18.7,NA,2009-08-02,31.3,7,NA,NA,NA,NA
Angus Reid Strategies,34,NA,10,16,NA,2009-07-28,33,7,NA,NA,NA,NA
EKOS Research Associates,34.1,NA,8.6,14.5,NA,2009-07-28,32.5,10.4,NA,NA,NA,NA
EKOS Research Associates,32.5,NA,8.4,14.8,NA,2009-07-21,32.8,11.5,NA,NA,NA,NA
Angus Reid Strategies,30,NA,11,18,NA,2009-07-17,33,6,NA,NA,NA,NA
EKOS Research Associates,32.4,NA,8.7,15.2,NA,2009-07-14,34.1,9.6,NA,NA,NA,NA
EKOS Research Associates,32.2,NA,9.3,16,NA,2009-07-07,31.8,10.7,NA,NA,NA,NA
Angus Reid Strategies,30,NA,10,16,NA,2009-07-03,36,7,NA,NA,NA,NA
EKOS Research Associates,32.2,NA,9,16.2,NA,2009-06-29,31,11.5,NA,NA,NA,NA
EKOS Research Associates,32.6,NA,9,14.3,NA,2009-06-23,34.8,9.3,NA,NA,NA,NA
Nanos Research,36.3,NA,9.8,16.8,NA,2009-06-21,32.2,4.8,NA,NA,NA,NA
Angus Reid Strategies,31,NA,11,18,NA,2009-06-18,32,7,NA,NA,NA,NA
EKOS Research Associates,33.7,NA,8.4,16.3,NA,2009-06-16,32.4,9,NA,NA,NA,NA
EKOS Research Associates,35,NA,9.2,15.1,NA,2009-06-09,30.3,10.4,NA,NA,NA,NA
Harris-Decima,35,NA,9,15,NA,2009-06-08,31,8,NA,NA,NA,NA
Strategic Counsel,34,NA,9,16,NA,2009-06-07,30,11,NA,NA,NA,NA
Ipsos Reid,36,NA,9,12,NA,2009-06-04,33,9,NA,NA,NA,NA
Nanos Research,37.2,NA,8,15.7,NA,2009-06-01,31.8,7.4,NA,NA,NA,NA
Angus Reid Strategies,33,NA,9,17,NA,2009-05-29,31,7,NA,NA,NA,NA
EKOS Research Associates,33.5,NA,8.7,15.1,NA,2009-05-28,32.3,10.4,NA,NA,NA,NA
Ipsos Reid,33,NA,9,14,NA,2009-05-24,35,8,NA,NA,NA,NA
Strategic Counsel,35,NA,9,16,NA,2009-05-10,30,11,NA,NA,NA,NA
Harris-Decima,34,NA,9,15,NA,2009-05-03,29,11,NA,NA,NA,NA
Nanos Research,36,NA,9,15,NA,2009-04-30,33,7,NA,NA,NA,NA
Ipsos Reid,36,NA,9,13,NA,2009-04-30,33,8,NA,NA,NA,NA
Angus Reid Strategies,33,NA,10,15,NA,2009-04-22,33,6,NA,NA,NA,NA
Harris-Decima,32,NA,9,16,NA,2009-04-19,29,11,NA,NA,NA,NA
EKOS Research Associates,36.7,NA,9.4,15.5,NA,2009-04-13,30.2,8.1,NA,NA,NA,NA
Strategic Counsel,34,NA,10,15,NA,2009-04-05,32,9,NA,NA,NA,NA
Leger Marketing,35,NA,9,14,NA,2009-03-23,34,6,NA,NA,NA,NA
Nanos Research,36,NA,10,13,NA,2009-03-18,33,8,NA,NA,NA,NA
Angus Reid Strategies,31,NA,10,16,NA,2009-03-11,35,7,NA,NA,NA,NA
Harris-Decima,33,NA,9,14,NA,2009-03-08,32,10,NA,NA,NA,NA
Strategic Counsel,31,NA,9,16,NA,2009-03-08,35,10,NA,NA,NA,NA
Ipsos Reid,33,NA,10,12,NA,2009-03-05,37,8,NA,NA,NA,NA
Harris-Decima,33,NA,10,15,NA,2009-02-15,33,7,NA,NA,NA,NA
Strategic Counsel,33,NA,5,17,NA,2009-02-08,32,13,NA,NA,NA,NA
Harris-Decima,31,NA,10,15,NA,2009-02-08,33,10,NA,NA,NA,NA
Ipsos Reid,31,NA,10,14,NA,2009-02-07,37,7,NA,NA,NA,NA
Nanos Research,33,NA,10,16,NA,2009-02-03,34,7,NA,NA,NA,NA
Angus Reid Strategies,29,NA,8,18,NA,2009-01-27,38,6,NA,NA,NA,NA
EKOS Research Associates,32.6,NA,7.9,14.3,NA,2009-01-17,36.2,9.1,NA,NA,NA,NA
Angus Reid Strategies,30,NA,9,17,NA,2009-01-15,39,5,NA,NA,NA,NA
Strategic Counsel,29,NA,8,18,NA,2009-01-14,36,8,NA,NA,NA,NA
Ipsos Reid,28,NA,9,15,NA,2009-01-08,39,9,NA,NA,NA,NA
Nanos Research,34,NA,7,19,NA,2009-01-07,33,7,NA,NA,NA,NA
COMPAS,30,NA,6,13,NA,2008-12-23,43,8,NA,NA,NA,NA
Angus Reid Strategies,31,NA,9,15,NA,2008-12-12,37,8,NA,NA,NA,NA
Ipsos Reid,26,NA,10,12,NA,2008-12-11,45,7,NA,NA,NA,NA
Angus Reid Strategies,22,NA,10,18,NA,2008-12-06,42,7,NA,NA,NA,NA
Praxicus Public Strategies,24,NA,8,14,NA,2008-12-04,47,8,NA,NA,NA,NA
COMPAS,20,NA,8,10,NA,2008-12-04,51,6,NA,NA,NA,NA
EKOS Research Associates,23.6,NA,10.2,15,NA,2008-12-04,42.2,9,NA,NA,NA,NA
Strategic Counsel,24,NA,10,14,NA,2008-12-03,45,8,NA,NA,NA,NA
Ipsos Reid,23,NA,9,13,NA,2008-12-03,46,8,NA,NA,NA,NA
EKOS Research Associates,24.1,NA,9.2,14.5,NA,2008-12-03,44,8.1,NA,NA,NA,NA
Nanos Research,30,NA,9,20,NA,2008-11-15,32,10,NA,NA,NA,NA
Forum Research,19,NA,5,33,NA,2011-05-01,36,6,NA,Phone (IVR),NA,NA
EKOS Research Associates,21,NA,6.4,31.2,NA,2011-05-01,33.9,6,NA,Phone (IVR),1.5,NA
Nanos Research,20.5,NA,5.7,31.6,NA,2011-05-01,37.1,3.8,NA,Phone,1.4,NA
Harris-Decima,19,NA,6,30,NA,2011-05-01,36,6,NA,Phone,NA,NA
EKOS Research Associates,20.4,NA,5.4,31.4,NA,2011-04-30,34.6,6.3,NA,Phone (IVR),1.8,NA
Forum Research,19,NA,5,33,NA,2011-04-30,35,7,NA,Phone (IVR),NA,NA
Nanos Research,22.7,NA,5.5,30.6,NA,2011-04-30,37,3.2,NA,Phone,NA,NA
Abacus Data,18,NA,7,32,NA,2011-04-29,37,7,NA,Online,NA,NA
COMPAS,17,NA,7,26,NA,2011-04-29,46,4,NA,Phone,NA,NA
Nanos Research,23.3,NA,5.2,29.6,NA,2011-04-29,38,3.1,NA,Phone,NA,NA
Angus Reid Public Opinion,19,NA,6,33,NA,2011-04-29,37,4,NA,Online,NA,NA
Leger Marketing,21,NA,7,31,NA,2011-04-28,36,4,NA,Online,NA,NA
Ipsos Reid,18,NA,6,33,NA,2011-04-28,38,4,NA,Phone,NA,NA
EKOS Research Associates,20,NA,6.3,29.7,NA,2011-04-28,34.5,6.9,NA,Phone (IVR),2.7,NA
Nanos Research,22,NA,5.7,31.2,NA,2011-04-28,36.4,4,NA,Phone,NA,NA
Harris-Decima,22,NA,5,30,NA,2011-04-27,35,7,NA,Phone,NA,NA
EKOS Research Associates,22.3,NA,6.1,27.5,NA,2011-04-27,34.8,6.8,NA,Phone (IVR),2.5,NA
Nanos Research,21.9,NA,6,30.4,NA,2011-04-27,36.6,4.1,NA,Phone,NA,NA
EKOS Research Associates,22.9,NA,6.6,28.1,NA,2011-04-26,34,6.5,NA,Phone (IVR),1.9,NA
Forum Research,22,NA,6,31,NA,2011-04-26,34,7,NA,Phone (IVR),NA,NA
Nanos Research,22.9,NA,5.8,27.8,NA,2011-04-26,37.8,4.7,NA,Phone,NA,NA
Angus Reid Public Opinion,22,NA,7,30,NA,2011-04-26,35,5,NA,Online,1,NA
EKOS Research Associates,24,NA,6,27.9,NA,2011-04-25,33.9,6.8,NA,Phone (IVR),1.4,NA
Innovative Research Group,24.9,NA,6.4,23.9,NA,2011-04-25,38.4,5.3,NA,Phone,NA,NA
EKOS Research Associates,23.7,NA,6.2,28,NA,2011-04-24,33.7,7.2,NA,Phone (IVR),1.2,NA
Nanos Research,25.6,NA,6.5,23.6,NA,2011-04-24,39.2,3.6,NA,Phone,NA,NA
Nanos Research,25.9,NA,7.2,23.2,NA,2011-04-23,38.6,3.7,NA,Phone,NA,NA
Environics,22,NA,7,25,NA,2011-04-21,39,6,NA,Phone,1,NA
Nanos Research,26.1,NA,7.4,23.7,NA,2011-04-21,37.8,3.5,NA,Phone,NA,NA
Ipsos Reid,21,NA,6,24,NA,2011-04-20,43,4,NA,Phone,NA,NA
Forum Research,23,NA,6,25,NA,2011-04-20,36,6,NA,Phone (IVR),NA,NA
Nanos Research,26.7,NA,7.5,22.1,NA,2011-04-20,39,3.4,NA,Phone,NA,NA
EKOS Research Associates,24.7,NA,6.5,24.7,NA,2011-04-20,34.4,7.8,NA,Phone (IVR),1.9,NA
Nanos Research,28.4,NA,7.7,19.8,NA,2011-04-19,39.1,3.9,NA,Phone,NA,NA
Nanos Research,30.2,NA,8.6,17.3,NA,2011-04-18,39.8,3.1,NA,Phone,NA,NA
Innovative Research Group,28,NA,9,17,NA,2011-04-17,39,6,NA,Phone,1,NA
Environics,24,NA,9,22,NA,2011-04-17,39,6,NA,Phone,1,NA
EKOS Research Associates,24.9,NA,7.8,20,NA,2011-04-17,37.4,8.4,NA,Phone (IVR),1.5,NA
Harris-Decima,28,NA,8,19,NA,2011-04-17,36,7,NA,Phone,NA,NA
Nanos Research,29.8,NA,8.6,17.4,NA,2011-04-17,39.8,3.4,NA,Phone,NA,NA
Leger Marketing,26,NA,8,22,NA,2011-04-17,38,5,NA,Online,NA,NA
Angus Reid Public Opinion,25,NA,9,25,NA,2011-04-16,36,5,NA,Online,NA,NA
Nanos Research,28.3,NA,9.6,18.4,NA,2011-04-16,39,3.6,NA,Phone,NA,NA
Abacus Data,29,NA,8,20,NA,2011-04-15,37,5,NA,Online,NA,NA
Nanos Research,28.8,NA,8.5,19.2,NA,2011-04-15,38.8,3.4,NA,Phone,NA,NA
Forum Research,25,NA,7,22,NA,2011-04-14,36,8,NA,Phone,NA,NA
EKOS Research Associates,27.8,NA,7.1,18,NA,2011-04-14,35.3,9.6,NA,Phone (IVR),2.1,NA
Nanos Research,28.8,NA,9,18.6,NA,2011-04-14,38.7,3.7,NA,Phone,NA,NA
Nanos Research,31.1,NA,7.5,18.3,NA,2011-04-13,38.9,3.1,NA,Phone,NA,NA
EKOS Research Associates,28.8,NA,7.8,19.1,NA,2011-04-12,33.8,9,NA,Phone (IVR),1.5,NA
Nanos Research,30.4,NA,9.1,16.3,NA,2011-04-12,39.9,3.8,NA,Phone,NA,NA
COMPAS,24,NA,8,16,NA,2011-04-11,45,7,NA,Phone,NA,NA
Innovative Research Group,28,NA,9,17,NA,2011-04-11,39,7,NA,Online,NA,NA
Nanos Research,31.2,NA,7.8,16.8,NA,2011-04-11,39.7,4,NA,Phone,NA,NA
Harris-Decima,28,NA,8,15,NA,2011-04-10,40,8,NA,Phone,NA,NA
Nanos Research,30.4,NA,7.8,15.2,NA,2011-04-10,41.2,4.6,NA,Phone,NA,NA
Nanos Research,31.6,NA,8.1,14.7,NA,2011-04-09,39.5,4.8,NA,Phone,NA,NA
TNS Canada,25,NA,9,18,NA,2011-04-08,36,9,NA,Phone,NA,NA
Nanos Research,31.7,NA,9.2,13.2,NA,2011-04-08,40.5,4,NA,Phone,NA,NA
Ipsos Reid,26,NA,9,19,NA,2011-04-07,41,4,NA,Phone,NA,NA
EKOS Research Associates,27.7,NA,8.3,16.6,NA,2011-04-07,36.2,8.5,NA,Phone (IVR),2.8,NA
Nanos Research,31.1,NA,8.7,14.7,NA,2011-04-07,40.6,3.4,NA,Phone,NA,NA
Forum Research,26,NA,8,20,NA,2011-04-06,38,9,NA,Phone,NA,NA
Nanos Research,30.4,NA,8.3,17.2,NA,2011-04-06,39.6,3.2,NA,Phone,NA,NA
Environics,25,NA,8,20,NA,2011-04-05,38,8,NA,Phone,NA,NA
Angus Reid Public Opinion,27,NA,8,21,NA,2011-04-05,38,6,NA,Online,NA,NA
EKOS Research Associates,27.8,NA,6.9,16.1,NA,2011-04-05,37,9.3,NA,Phone (IVR),2.9,NA
Nanos Research,29.9,NA,8.3,17.4,NA,2011-04-05,39.7,3.8,NA,Phone,NA,NA
Nanos Research,30.2,NA,8.3,16.5,NA,2011-04-04,39.8,4,NA,Phone,NA,NA
Harris-Decima,28,NA,10,17,NA,2011-04-03,35,8,NA,Phone,NA,NA
Nanos Research,28.4,NA,8,16.4,NA,2011-04-03,42.3,3.8,NA,Phone,NA,NA
Leger Marketing,26,NA,10,18,NA,2011-04-02,37,8,NA,Online,NA,NA
Nanos Research,29.4,NA,8,16.9,NA,2011-04-02,40.7,4,NA,Phone,NA,NA
Nanos Research,30.3,NA,8.5,16,NA,2011-04-01,41.3,3.7,NA,Phone,NA,NA
EKOS Research Associates,26.2,NA,8.5,17.2,NA,2011-03-31,36.9,8.7,NA,Phone (IVR),2.5,NA
Nanos Research,31.7,NA,8.5,16.1,NA,2011-03-31,39.4,4.4,NA,Phone,NA,NA
Nanos Research,32.7,NA,8.7,15.9,NA,2011-03-30,39.1,3.7,NA,Phone,NA,NA
Nanos Research,28.7,NA,9.1,19.6,NA,2011-03-29,38.4,4.1,NA,Phone,NA,NA
Abacus Data,27,NA,9,20,NA,2011-03-28,36,8,NA,Online,NA,NA
Harris-Decima,24,NA,10,19,NA,2011-03-27,38,7,NA,Phone,NA,NA
Forum Research,24,NA,10,19,NA,2011-03-27,41,6,NA,Phone,NA,NA
Nanos Research,29.3,NA,3.3,30.1,NA,2015-07-31,31.5,5.4,1000,telephone – rolling (1/2),NA,NA
Innovative Research,25.8,NA,4.6,33.7,NA,2015-07-30,29.3,5.6,2833,online,NA,NA
Forum Research,25,NA,4,33,NA,2015-07-28,33,4,1397,IVR,NA,NA
EKOS,23.4,NA,4.7,33.8,NA,2015-07-28,30.1,6.1,2247,IVR,NA,NA
Ipsos Reid,25,NA,5,34,NA,2015-07-27,33,3,1571,online,NA,NA
Mainstreet Research,25,NA,4,27,NA,2015-07-21,38,6,5147,IVR,NA,NA
Forum Research,29,NA,5,34,NA,2015-07-20,28,4,1208,IVR,NA,NA
Nanos Research,27,NA,5,31,NA,2015-07-17,31,6,1000,telephone – rolling,NA,NA
Leger Marketing,25,NA,5,32,NA,2015-07-16,32,6,1545,online,NA,NA
EKOS,24,NA,5.3,32.6,NA,2015-07-14,29.4,6.6,2538,IVR,NA,NA
Forum Research,27,NA,7,34,NA,2015-07-13,27,5,1251,IVR,NA,NA
Forum Research,26,NA,5,32,NA,2015-07-07,32,3,1200,IVR,NA,NA
Abacus Data,27,NA,6,32,NA,2015-07-06,29,6,2000,online,NA,NA
Forum Research,29,NA,6,32,NA,2015-06-29,27,4,1221,IVR,NA,NA
EKOS,25.6,NA,6.3,30.9,NA,2015-06-28,27.3,6.6,1752,IVR,NA,NA
Forum Research,28,NA,5,36,NA,2015-06-23,28,2,1268,IVR,NA,NA
Ipsos Reid,29,NA,6,35,NA,2015-06-23,28,2,2003,online,NA,NA
Environics,28,NA,6,30,NA,2015-06-18,28,7,2003,telephone,NA,NA
Forum Research,28,NA,7,34,NA,2015-06-16,26,5,1281,IVR,NA,NA
EKOS,25,NA,5.9,30.2,NA,2015-06-16,29.4,7.1,3834,IVR,NA,NA
EKOS,23.3,NA,5.1,33.6,NA,2015-06-09,26.9,7.3,2491,IVR,NA,NA
Angus Reid,23,NA,5,36,NA,2015-06-07,31,5,6005,online,NA,NA
Forum Research,32,NA,3,28,NA,2015-06-05,31,5,1156,IVR,NA,NA
EKOS,23.9,NA,4.8,31.3,NA,2015-06-02,29.2,7.4,2204,IVR,NA,NA
Abacus Data,28,NA,4,28,NA,2015-05-31,31,7,1500,online,NA,NA
Ipsos Reid,31,NA,4,30,NA,2015-05-29,31,4,1003,online,NA,NA
Nanos Research,29,NA,4,30,NA,2015-05-29,32,5,1000,telephone – rolling (1/2),NA,NA
EKOS,26.8,NA,4.1,28.9,NA,2015-05-26,29.5,7.8,2934,IVR,NA,NA
EKOS,26.1,NA,5.4,29.6,NA,2015-05-19,28.1,7.6,2675,IVR,NA,NA
Nanos Research,31.3,NA,3.6,25.2,NA,2015-05-14,32.9,5.3,1000,telephone – rolling,NA,NA
Forum Research,31,NA,3,30,NA,2015-05-13,31,4,1286,IVR,NA,NA
EKOS,27,NA,4.1,29.1,NA,2015-05-12,30,8,2177,IVR,NA,NA
EKOS,29.6,NA,4.2,24.2,NA,2015-05-05,30.3,7.3,3017,IVR,NA,NA
Leger Marketing,34,NA,4,21,NA,2015-04-30,33,7,1488,online,NA,NA
EKOS,28.7,NA,4.1,21.9,NA,2015-04-28,32.4,9.9,3757,IVR,NA,NA
Abacus Data,28,NA,5,24,NA,2015-04-24,36,6,1500,online,NA,NA
Forum Research,31,NA,5,23,NA,2015-04-22,35,6,977,IVR,NA,NA
EKOS,27.6,NA,4.9,23.5,NA,2015-04-21,31.8,7.5,3850,IVR,NA,NA
Nanos Research,34,NA,4,25,NA,2015-04-17,29,8,1000,telephone – rolling,NA,NA
Forum Research,35,NA,3,22,NA,2015-04-16,33,6,1365,IVR,NA,NA
EKOS,28.5,NA,4.9,22.7,NA,2015-04-14,32.2,8,3399,IVR,NA,NA
Ipsos Reid,33,NA,4,25,NA,2015-04-07,35,3,1001,online,NA,NA
EKOS,30.1,NA,4.2,22.9,NA,2015-04-07,28.7,9.2,3306,IVR,NA,NA
Forum Research,34,NA,5,23,NA,2015-03-31,31,5,1239,IVR,NA,NA
EKOS,27.6,NA,5.2,22.6,NA,2015-03-31,31.9,9.6,3901,IVR,NA,NA
Oraclepoll Research,31.4,NA,5.9,18.7,NA,2015-03-30,35.3,8.7,3040,telephone,NA,NA
EKOS,28.5,NA,4.7,23.2,NA,2015-03-24,31.8,8.7,4311,IVR,NA,NA
Abacus Data,33,NA,4,23,NA,2015-03-22,32,6,1000,online,NA,NA
Leger Marketing,35,NA,4,20,NA,2015-03-18,34,6,1511,online,NA,NA
EKOS,32.1,NA,4.8,21.2,NA,2015-03-17,30.2,7.9,3832,IVR,NA,NA
Forum Research,36,NA,4,21,NA,2015-03-14,32,6,1370,IVR,NA,NA
EKOS,30.5,NA,4.8,19.7,NA,2015-03-10,32.9,8.8,2950,IVR,NA,NA
EKOS,31.3,NA,4.6,19.9,NA,2015-03-03,32.2,9,3241,IVR,NA,NA
Nanos Research,34,NA,5,23,NA,2015-02-27,33,5,1000,telephone – rolling,NA,NA
EKOS,31.9,NA,4.5,22.1,NA,2015-02-24,31.1,7.5,3607,IVR,NA,NA
Ipsos Reid,34,NA,6,23,NA,2015-02-23,33,3,2650,online,NA,NA
EKOS,31.6,NA,5.4,19.1,NA,2015-02-17,32.3,8,3386,IVR,NA,NA
Abacus Data,34,NA,4,21,NA,2015-02-16,35,4,1460,online,NA,NA
Forum Research,39,NA,4,17,NA,2015-02-10,32,5,1018,IVR,NA,NA
EKOS,33.8,NA,4.2,18.9,NA,2015-02-10,32,8.5,3005,IVR,NA,NA
EKOS,32.2,NA,3.8,17.9,NA,2015-02-03,35,8,2974,IVR,NA,NA
Leger Marketing,35,NA,5,20,NA,2015-02-02,32,6,1507,online,NA,NA
Forum Research,34,NA,5,20,NA,2015-01-28,35,6,1382,IVR,NA,NA
Abacus Data,32,NA,4,24,NA,2015-01-28,33,5,1005,online,NA,NA
EKOS,33.1,NA,4.4,19.1,NA,2015-01-13,31,8.9,4412,IVR,NA,NA
Ipsos Reid,31,NA,6,24,NA,2015-01-11,35,4,1915,online,NA,NA
Forum Research,37,NA,4,20,NA,2015-01-06,33,5,1741,IVR,NA,NA
Abacus Data,33,NA,4,22,NA,2014-12-20,34,6,1438,online,NA,NA
EKOS,33.8,NA,5.3,20.2,NA,2014-12-18,29.8,7.7,2183,IVR,NA,NA
Angus Reid,34,NA,4,22,NA,2014-12-13,34,5,6325,online,NA,NA
